country,year,population,gdp,electricity_demand,electricity_generation,fossil_electricity,renewables_electricity,nuclear_electricity,coal_electricity,gas_electricity,oil_electricity,solar_electricity,wind_electricity,hydro_electricity,primary_energy_consumption,greenhouse_gas_emissions,carbon_intensity_elec
Argentina,2010,41288694.0,785785170150.0,134.60000610351562,126.0,84.0199966430664,34.77000045776367,7.210000038146973,3.009999990463257,63.810001373291016,17.200000762939453,0.0,0.0299999993294477,33.36000061035156,882.2677001953125,50.599998474121094,401.5899963378906
Argentina,2011,41730655.0,837742673804.0,139.16000366210938,129.49000549316406,90.4800033569336,32.61000061035156,6.400000095367432,2.9100000858306885,67.86000061035156,19.709999084472656,0.0,0.0299999993294477,31.190000534057617,907.375732421875,54.369998931884766,419.8800048828125
Argentina,2012,42161718.0,829147409948.0,143.6300048828125,136.02000427246094,98.62999725341795,30.989999771118164,6.400000095367432,2.640000104904175,76.2300033569336,19.760000228881836,0.0099999997764825,0.3700000047683716,29.15999984741211,944.1318969726562,58.779998779296875,432.1400146484375
Argentina,2013,42582453.0,849088398588.0,147.50999450683594,139.4499969482422,98.47000122070312,34.77000045776367,6.210000038146973,2.380000114440918,74.69999694824219,21.38999938964844,0.0199999995529651,0.449999988079071,32.77000045776367,1009.4488525390624,58.880001068115234,422.2300109863281
Argentina,2014,43024071.0,827750786191.0,148.39999389648438,138.5399932861328,98.48999786376952,34.540000915527344,5.510000228881836,2.5399999618530273,76.16000366210938,19.790000915527344,0.0199999995529651,0.6200000047683716,32.41999816894531,993.0078125,58.7599983215332,424.1400146484375
Argentina,2015,43477011.0,850356641236.0,154.3800048828125,145.4199981689453,103.9499969482422,34.43000030517578,7.039999961853027,2.390000104904175,79.11000061035156,22.450000762939453,0.0099999997764825,0.5899999737739563,32.34000015258789,1009.9921264648438,62.029998779296875,426.55999755859375
Argentina,2016,43900312.0,832669278245.0,156.6999969482422,147.17999267578125,107.41000366210938,31.489999771118164,8.279999732971191,1.9299999475479128,84.27999877929688,21.200000762939453,0.0099999997764825,0.550000011920929,29.75,1005.7216796875,63.56999969482422,431.9200134277344
Argentina,2017,44288898.0,856142153676.0,156.07000732421875,145.61000061035156,105.83999633789062,33.68000030517578,6.090000152587891,2.009999990463257,91.20999908447266,12.619999885559082,0.0199999995529651,0.6100000143051147,31.59000015258789,996.9880981445312,61.939998626708984,425.3800048828125
Argentina,2018,44654876.0,833736983405.0,156.33999633789062,146.77999877929688,104.69000244140624,35.220001220703125,6.869999885559082,2.0299999713897705,95.3499984741211,7.309999942779541,0.1099999994039535,1.409999966621399,32.279998779296875,986.0548095703124,60.810001373291016,414.2900085449219
Argentina,2019,44973469.0,817053926667.0,150.22000122070312,139.52999877929688,96.30999755859376,34.779998779296875,8.4399995803833,1.1699999570846558,91.30999755859376,3.8299999237060542,0.800000011920929,5.0,27.5,925.657958984375,55.47999954223633,397.6199951171875
